Training_Name,Req_Skills
Python Programming Basics,"Python, VS Code, PyCharm, pip, virtualenv, Jupyter"
Advanced Python,"Python, Decorators, Generators, Asyncio, Django, Flask"
Data Analysis with Python,"Pandas, NumPy, Matplotlib, Seaborn, Jupyter, SciPy"
Machine Learning Essentials,"Scikit-learn, NumPy, Pandas, TensorFlow, PyTorch, Jupyter"
Deep Learning Specialization,"TensorFlow, Keras, PyTorch, Neural Networks, GPUs, CUDA"
DevOps Fundamentals,"Docker, Kubernetes, Jenkins, CI/CD, Git, Ansible"
AWS Cloud Practitioner,"AWS, S3, EC2, CloudFormation, IAM, Lambda"
Azure Fundamentals,"Azure, ARM Templates, Azure DevOps, Virtual Machines, App Services"
Google Cloud Essentials,"Google Cloud, GCP, BigQuery, Compute Engine, Cloud Storage"
Web Development Basics,"HTML, CSS, JavaScript, VS Code, Git"
Front-End Development,"React, Angular, Vue.js, ES6, Webpack"
Back-End Development,"Node.js, Express, Django, Flask, REST APIs"
Full Stack Development,"MERN, MEAN, Django, Flask, PostgreSQL, MongoDB"
Cybersecurity Basics,"Kali Linux, Nmap, Wireshark, Metasploit, Burp Suite"
Ethical Hacking,"Kali Linux, Metasploit, Burp Suite, OWASP ZAP, Social Engineering"
Cloud Security,"AWS Security, Azure Security, IAM, Encryption, Firewalls"
Data Engineering with Python,"Python, PySpark, Airflow, Hadoop, ETL"
Big Data Analytics,"Hadoop, Spark, Hive, HDFS, MapReduce"
AI for Everyone,"Machine Learning, Neural Networks, AI Ethics, Automation"
Kubernetes Essentials,"Kubernetes, Helm, Kubeadm, Minikube, Pods"
Docker for Beginners,"Docker, Dockerfiles, Containers, Images, Docker Compose"
Blockchain Basics,"Solidity, Ethereum, Smart Contracts, Hyperledger, Web3"
Salesforce Developer,"Salesforce, Apex, Visualforce, Lightning Web Components"
IoT Basics,"IoT, MQTT, Raspberry Pi, Arduino, Microcontrollers"
AR/VR Development,"Unity, Unreal Engine, C#, VR SDKs"
Game Development Basics,"Unity, Unreal Engine, C++, C#, Game Physics"
NLP Specialization,"Python, NLTK, spaCy, Hugging Face, BERT"
Computer Vision,"OpenCV, TensorFlow, PyTorch, YOLO, Image Processing"
Natural Language Processing,"Python, RNN, LSTMs, Transformer Models"
Software Testing Basics,"Selenium, Appium, JUnit, TestNG, Postman"
Automation Testing,"Selenium, Puppeteer, Playwright, Cucumber"
Agile Methodologies,"Scrum, Kanban, Jira, Trello"
RPA Essentials,"UiPath, Blue Prism, Automation Anywhere"
Linux Administration,"Linux, Shell Scripting, Systemd, Bash"
Database Administration,"SQL, Oracle, PostgreSQL, MongoDB"
ITIL Foundation,"ITIL, IT Service Management, Change Management"
Microsoft Power BI,"Power BI, DAX, M, Data Visualization"
Tableau Training,"Tableau, Data Visualization, Dashboards, Analytics"
SAP Essentials,"SAP, ERP, ABAP, S/4HANA"
Business Analysis Basics,"BABOK, BPMN, Wireframing, User Stories"
Digital Marketing Basics,"SEO, Google Analytics, SEM, Content Marketing"
Content Writing and Copywriting,"Blogging, SEO Writing, WordPress"
Graphic Design Basics,"Photoshop, Illustrator, Canva"
UX/UI Design,"Figma, Adobe XD, User Research"
Video Editing Basics,"Premiere Pro, Final Cut Pro, DaVinci Resolve"
Animation Essentials,"Blender, Maya, After Effects"
